,name_raw,name,actual,score_actual,guess_orig,score_orig,guess_naive,score_naive,guess_complex,score_complex,dif_orig_naive,dif_orig_complex,dif_naive_complex,,dif_act_orig,dif_act_complex
3434,"o'hara,_lyndell:0","O'hara, Lyndell",,,female,5,unknown,3,unknown,3,2,2,0,,,
3487,"miles,_rogers_blood:0","Miles, Rogers Blood",,,male,1,unknown,3,unknown,3,2,2,0,,,
3549,"maggor,_noam:0","Maggor, Noam",,,male,1,andy,3,andy,3,2,2,0,,,
3636,"smith,_whitney_e.:0","Smith, Whitney E.",,,female,5,mostly_male,2,andy,3,3,2,1,,,
3809,"thomas,_jean_waters:0","Thomas, Jean Waters",,,female,5,mostly_female,4,andy,3,1,2,1,,,
3822,"morehouse,_maggi_m.:0","Morehouse, Maggi M.",,,female,5,unknown,3,unknown,3,2,2,0,,,
3889,"hayes,_jean_mcgrath:0","Hayes, Jean Mcgrath",,,female,5,mostly_female,4,andy,3,1,2,1,,,
3959,"shahidian,_ali_m._hammed:0","Shahidian, Ali M. Hammed",,,female,5,mostly_male,2,andy,3,3,2,1,,,
3996,"checkovich,_alex:0","Checkovich, Alex",,,male,1,mostly_male,2,andy,3,1,2,1,,,
4206,"gilpin,_toni:0","Gilpin, Toni",,,female,5,female,5,andy,3,0,2,2,,,
4288,"ortiz_batalla,_javier:0","Ortiz Batalla, Javier",,,male,1,andy,3,andy,3,2,2,0,,,
4322,"moglen,_eben:0","Moglen, Eben",,,male,1,unknown,3,unknown,3,2,2,0,,,
4412,"williams,_robin_brentwood:0","Williams, Robin Brentwood",,,female,5,mostly_female,4,andy,3,1,2,1,,,
4569,"kurashige,_lon_yuki:0","Kurashige, Lon Yuki",,,male,1,male,1,andy,3,0,2,2,,,
4665,"ramsey,_guthrie_p.,_jr.:0","Ramsey, Guthrie P., Jr.",,,male,1,unknown,3,unknown,3,2,2,0,,,
4834,"hutson,_alaine_stacy:0","Hutson, Alaine Stacy",,,female,5,unknown,3,unknown,3,2,2,0,,,
4856,"tsenes-hills,_temple_bryonny:0","Tsenes Hills, Temple Bryonny",,,male,1,unknown,3,unknown,3,2,2,0,,,
5151,"mehra,_akhil:0","Mehra, Akhil",,,male,1,unknown,3,unknown,3,2,2,0,,,
5180,"aguila,_jaime_r.:0","Aguila, Jaime R.",,,male,1,andy,3,andy,3,2,2,0,,,
5308,"gauvin,_jean-francois:0","Gauvin, Jean Francois",,,male,1,mostly_female,4,andy,3,3,2,1,,,
5411,"paul,_chandrika:0","Paul, Chandrika",,,female,5,unknown,3,unknown,3,2,2,0,,,
5425,"tucker,_leslie_ray:0","Tucker, Leslie Ray",,,female,5,mostly_female,4,andy,3,1,2,1,,,
5459,"yaycioglu,_ali:0","Yaycioglu, Ali",,,female,5,mostly_male,2,andy,3,3,2,1,,,
5468,"olson,_jess:0","Olson, Jess",,,female,5,male,1,andy,3,4,2,2,,,
5494,"pugh-bassett,_lovell:0","Pugh Bassett, Lovell",,,male,1,unknown,3,unknown,3,2,2,0,,,
5518,"gottesman,_alex:0","Gottesman, Alex",,,male,1,mostly_male,2,andy,3,1,2,1,,,
5546,"caufield,_sasha_rosenman:0","Caufield, Sasha Rosenman",,,female,5,female,5,andy,3,0,2,2,,,
5556,"kabat,_ric_a.:0","Kabat, Ric A.",,,male,1,unknown,3,unknown,3,2,2,0,,,
5733,"greenstein,_ran:0","Greenstein, Ran",,,male,1,andy,3,andy,3,2,2,0,,,
5861,"saddi,_vitoria_c.:0","Saddi, Vitoria C.",,,female,5,unknown,3,unknown,3,2,2,0,,,
5961,"bailkin,_jordanna:0","Bailkin, Jordanna",,,female,5,unknown,3,unknown,3,2,2,0,,,
5998,"cummins,_alex_g.:0","Cummins, Alex G.",,,male,1,mostly_male,2,andy,3,1,2,1,,,
5999,"dey,_arnab:0","Dey, Arnab",,,male,1,unknown,3,unknown,3,2,2,0,,,
6055,"thacker,_carlye_burchett:0","Thacker, Carlye Burchett",,,female,5,unknown,3,unknown,3,2,2,0,,,
